epoch,total_loss,labeled_loss,unlabeled_pde_loss,l2_error,learning_rate
51,5.538676246007284,3.444423411952125,2.094252838028802,9.383213251829147,0.001
52,5.603870383898417,3.4436048997773065,2.160265470875634,12.7748584151268,0.001
53,5.094535568025377,3.1222853594356113,1.972250203953849,12.28371286392212,0.001
54,5.401892868677775,3.328233096334669,2.0736597670449153,8.227554142475128,0.001
55,5.392225085364448,3.312788506348928,2.0794365776909722,14.796145737171173,0.001
56,5.0421012997627255,3.1185402048958673,1.9235610862572987,9.548935413360596,0.001
57,5.187126559681363,3.2174293610784743,1.9696972025765314,10.357278376817703,0.001
58,5.131395922766791,3.1652769578827753,1.966118973493576,9.524957835674286,0.001
59,5.093690204620361,3.1865549723307294,1.9071352197064293,9.30126178264618,0.001
60,5.304114556312561,3.258677640226152,2.045436908139123,20.116458117961884,0.0005
61,4.843967861599392,2.90060514609019,1.943362710211012,8.135237365961075,0.0005
62,4.516243426005046,2.712212912241618,1.8040304958820343,7.6078424751758575,0.0005
63,4.524146334330241,2.6987438095940486,1.8254025459289551,13.015259027481079,0.0005
64,4.717250691519843,2.8758609255154925,1.8413897732893625,11.055875927209854,0.0005
65,4.599339116944207,2.7235236128171283,1.8758154935306972,8.169352322816849,0.0005
66,5.058725672298007,2.982093169954088,2.076632499694824,8.470582515001297,0.0005
67,5.13234904077318,3.0152686927053662,2.117080327537325,9.893760740756989,0.0005
68,4.8122169256210325,2.8474535478485956,1.9647633810838063,7.23094767332077,0.0005
69,4.467804225285848,2.6352284842067295,1.8325757404168448,8.376810401678085,0.0005
70,4.39917438560062,2.6151002287864684,1.7840741713841757,10.96220052242279,0.0005
71,4.6588538209597266,2.794829077190823,1.8640247682730358,8.009311079978943,0.0005
72,4.2903188718689815,2.562425349156062,1.7278935293356577,6.559644863009453,0.0005
73,4.39523524178399,2.6128786577118768,1.782356591357125,7.006161540746689,0.0005
74,4.331121436754862,2.574197279082404,1.7569241530365414,9.938337534666061,0.0005
75,4.218278690179189,2.519439407189687,1.6988392922613356,8.98735436797142,0.0005
76,4.627274191379547,2.8258746001455517,1.8013995812998878,8.378410756587982,0.0005
77,4.265549609396193,2.560401614507039,1.705148004160987,7.276636630296707,0.0005
78,4.270406206448873,2.6226201487912073,1.6477860709031422,7.163185477256775,0.0005
79,4.15507342947854,2.4828829553392198,1.672190476126141,9.674820333719254,0.0005
